Order No,Part No,Part Description,Supplier Name,Promised Delivery Date,Actual Delivery Date,Delay (Days),Is Overdue
15230089,8022963,Lightning Arrester N female/female,Supplier_6F8465,2025-01-24,2025-01-24,0,False
15230089,8049926,Gas tube 230 V for LP-NFM-3GHz and  LP-NFF-3GHz,Supplier_6F8465,2025-01-24,2025-01-24,0,False
15230089,8113102,Grounding kit for LMR600 FIMO KMT 15 -YS-Z,Supplier_6F8465,2025-01-24,2025-01-24,0,False
15229827,8120076,"2""/60.3mm No 10 90 Degree Elbow Galvanized",Supplier_16ABF0,2025-01-31,2025-01-31,0,False
15229481,8130909,STHAMEX MARINE 3% F-20 Frostresistant up to -20°C (200L),Supplier_342AC1,2025-01-31,2025-01-30,-1,False
15230084,8131054,"APC Back-UPS 2200VA, 230V, AVR, IEC Sockets",Supplier_B87D09,2025-01-30,2025-02-05,6,True
15230858,8109426,24VDC Solid State Relay,Supplier_5680DD,2025-02-05,2025-02-05,0,False
15230858,8109426,24VDC Solid State Relay,Supplier_5680DD,2025-02-05,2025-02-05,0,False
15230858,8109426,24VDC Solid State Relay,Supplier_5680DD,2025-02-05,2025-02-05,0,False
15230858,8109426,24VDC Solid State Relay,Supplier_5680DD,2025-02-05,2025-02-05,0,False
15231001,8131360,BU 0.6/1 2 6 P17 BLACK DRAKA 2013 without certificate,Supplier_F6E2BB,2025-02-13,2025-02-11,-2,False
15229526,8010868,Consulting Services - Jan. 2025,Supplier_A74BCA,2025-01-31,2025-01-16,-15,False
15231061,8078020,ENERSYS 16EP Battery,Supplier_2064BB,2025-02-11,2025-02-07,-4,False
15229801,8052743,Schneider HPFI modul Vigi iC60 25A 2P 30mA cl. A A9W21225,Supplier_16ABF0,2025-01-17,2025-01-14,-3,False
15229801,8052921,"Miniature Circuit Breaker iC60N C 4A 2P, type A9F04204",Supplier_16ABF0,2025-01-17,2025-01-14,-3,False
15231020,8121533,RJ45 Premium Plug STP Cat.6A/ClassEA,Supplier_BC3711,2025-02-07,2025-02-07,0,False
